turbine_id,component_id,component_type,site,observed_age_years,failed
WT-0001,WT-0001-MB,Main bearing,North Sea,3.793,0
WT-0001,WT-0001-GB,Gearbox,North Sea,3.793,0
WT-0001,WT-0001-GEN,Generator,North Sea,3.793,0
WT-0002,WT-0002-MB,Main bearing,North Sea,3.745,1
WT-0002,WT-0002-GB,Gearbox,North Sea,7.026,0
WT-0002,WT-0002-GEN,Generator,North Sea,7.026,0
WT-0003,WT-0003-MB,Main bearing,Onshore North,7.497,0
WT-0003,WT-0003-GB,Gearbox,Onshore North,7.497,0
WT-0003,WT-0003-GEN,Generator,Onshore North,7.497,0
WT-0004,WT-0004-MB,Main bearing,North Sea,4.262,0
WT-0004,WT-0004-GB,Gearbox,North Sea,4.262,0
WT-0004,WT-0004-GEN,Generator,North Sea,4.262,0
WT-0005,WT-0005-MB,Main bearing,Baltic,4.625,0
WT-0005,WT-0005-GB,Gearbox,Baltic,4.625,0
WT-0005,WT-0005-GEN,Generator,Baltic,4.625,0
WT-0006,WT-0006-MB,Main bearing,Onshore North,4.398,0
WT-0006,WT-0006-GB,Gearbox,Onshore North,4.398,0
WT-0006,WT-0006-GEN,Generator,Onshore North,2.770,1
WT-0007,WT-0007-MB,Main bearing,North Sea,7.836,0
WT-0007,WT-0007-GB,Gearbox,North Sea,7.836,0
WT-0007,WT-0007-GEN,Generator,North Sea,7.836,0
WT-0008,WT-0008-MB,Main bearing,Baltic,8.271,0
WT-0008,WT-0008-GB,Gearbox,Baltic,8.271,0
WT-0008,WT-0008-GEN,Generator,Baltic,8.271,0
WT-0009,WT-0009-MB,Main bearing,Onshore North,3.424,1
WT-0009,WT-0009-GB,Gearbox,Onshore North,4.414,1
WT-0009,WT-0009-GEN,Generator,Onshore North,7.048,0
WT-0010,WT-0010-MB,Main bearing,North Sea,8.973,1
WT-0010,WT-0010-GB,Gearbox,North Sea,9.818,1
WT-0010,WT-0010-GEN,Generator,North Sea,7.580,1
WT-0011,WT-0011-MB,Main bearing,North Sea,1.625,1
WT-0011,WT-0011-GB,Gearbox,North Sea,5.217,1
WT-0011,WT-0011-GEN,Generator,North Sea,5.449,0
WT-0012,WT-0012-MB,Main bearing,Onshore North,4.738,1
WT-0012,WT-0012-GB,Gearbox,Onshore North,10.734,1
WT-0012,WT-0012-GEN,Generator,Onshore North,10.014,1
WT-0013,WT-0013-MB,Main bearing,Baltic,3.905,1
WT-0013,WT-0013-GB,Gearbox,Baltic,5.829,0
WT-0013,WT-0013-GEN,Generator,Baltic,3.624,1
WT-0014,WT-0014-MB,Main bearing,Onshore North,7.307,1
WT-0014,WT-0014-GB,Gearbox,Onshore North,8.808,1
WT-0014,WT-0014-GEN,Generator,Onshore North,6.555,1
WT-0015,WT-0015-MB,Main bearing,North Sea,3.728,1
WT-0015,WT-0015-GB,Gearbox,North Sea,4.911,1
WT-0015,WT-0015-GEN,Generator,North Sea,7.583,0
WT-0016,WT-0016-MB,Main bearing,Onshore North,4.941,1
WT-0016,WT-0016-GB,Gearbox,Onshore North,4.761,1
WT-0016,WT-0016-GEN,Generator,Onshore North,7.416,0
WT-0017,WT-0017-MB,Main bearing,Onshore North,10.173,1
WT-0017,WT-0017-GB,Gearbox,Onshore North,10.265,1
WT-0017,WT-0017-GEN,Generator,Onshore North,7.731,1
WT-0018,WT-0018-MB,Main bearing,North Sea,4.137,0
WT-0018,WT-0018-GB,Gearbox,North Sea,4.137,0
WT-0018,WT-0018-GEN,Generator,North Sea,4.137,0
WT-0019,WT-0019-MB,Main bearing,Baltic,7.279,1
WT-0019,WT-0019-GB,Gearbox,Baltic,2.434,1
WT-0019,WT-0019-GEN,Generator,Baltic,3.129,1
WT-0020,WT-0020-MB,Main bearing,Onshore North,11.609,1
WT-0020,WT-0020-GB,Gearbox,Onshore North,4.177,1
WT-0020,WT-0020-GEN,Generator,Onshore North,7.546,1
WT-0021,WT-0021-MB,Main bearing,North Sea,7.409,0
WT-0021,WT-0021-GB,Gearbox,North Sea,7.409,0
WT-0021,WT-0021-GEN,Generator,North Sea,5.114,1
WT-0022,WT-0022-MB,Main bearing,North Sea,5.559,1
WT-0022,WT-0022-GB,Gearbox,North Sea,6.255,1
WT-0022,WT-0022-GEN,Generator,North Sea,1.262,1
WT-0023,WT-0023-MB,Main bearing,Baltic,6.300,0
WT-0023,WT-0023-GB,Gearbox,Baltic,5.013,1
WT-0023,WT-0023-GEN,Generator,Baltic,6.300,0
WT-0024,WT-0024-MB,Main bearing,Onshore North,7.975,0
WT-0024,WT-0024-GB,Gearbox,Onshore North,4.803,1
WT-0024,WT-0024-GEN,Generator,Onshore North,7.463,1
WT-0025,WT-0025-MB,Main bearing,Baltic,5.239,1
WT-0025,WT-0025-GB,Gearbox,Baltic,11.424,0
WT-0025,WT-0025-GEN,Generator,Baltic,11.424,0
WT-0026,WT-0026-MB,Main bearing,Baltic,1.846,1
WT-0026,WT-0026-GB,Gearbox,Baltic,5.016,1
WT-0026,WT-0026-GEN,Generator,Baltic,9.472,1
WT-0027,WT-0027-MB,Main bearing,Baltic,11.570,0
WT-0027,WT-0027-GB,Gearbox,Baltic,8.784,1
WT-0027,WT-0027-GEN,Generator,Baltic,11.570,0
WT-0028,WT-0028-MB,Main bearing,North Sea,8.076,0
WT-0028,WT-0028-GB,Gearbox,North Sea,2.521,1
WT-0028,WT-0028-GEN,Generator,North Sea,6.962,1
WT-0029,WT-0029-MB,Main bearing,Baltic,9.897,0
WT-0029,WT-0029-GB,Gearbox,Baltic,2.270,1
WT-0029,WT-0029-GEN,Generator,Baltic,9.897,0
WT-0030,WT-0030-MB,Main bearing,North Sea,8.806,0
WT-0030,WT-0030-GB,Gearbox,North Sea,6.761,1
WT-0030,WT-0030-GEN,Generator,North Sea,5.890,1
WT-0031,WT-0031-MB,Main bearing,Onshore North,2.115,1
WT-0031,WT-0031-GB,Gearbox,Onshore North,7.555,0
WT-0031,WT-0031-GEN,Generator,Onshore North,7.555,0
WT-0032,WT-0032-MB,Main bearing,Onshore North,8.368,1
WT-0032,WT-0032-GB,Gearbox,Onshore North,9.648,0
WT-0032,WT-0032-GEN,Generator,Onshore North,9.648,0
WT-0033,WT-0033-MB,Main bearing,Baltic,2.613,1
WT-0033,WT-0033-GB,Gearbox,Baltic,7.364,1
WT-0033,WT-0033-GEN,Generator,Baltic,10.064,0
WT-0034,WT-0034-MB,Main bearing,North Sea,1.803,1
WT-0034,WT-0034-GB,Gearbox,North Sea,9.725,0
WT-0034,WT-0034-GEN,Generator,North Sea,8.301,1
WT-0035,WT-0035-MB,Main bearing,Baltic,8.178,0
WT-0035,WT-0035-GB,Gearbox,Baltic,2.077,1
WT-0035,WT-0035-GEN,Generator,Baltic,7.803,1
WT-0036,WT-0036-MB,Main bearing,Baltic,3.626,0
WT-0036,WT-0036-GB,Gearbox,Baltic,3.459,1
WT-0036,WT-0036-GEN,Generator,Baltic,3.626,0
WT-0037,WT-0037-MB,Main bearing,North Sea,7.278,1
WT-0037,WT-0037-GB,Gearbox,North Sea,8.045,0
WT-0037,WT-0037-GEN,Generator,North Sea,8.045,0
WT-0038,WT-0038-MB,Main bearing,Baltic,6.252,0
WT-0038,WT-0038-GB,Gearbox,Baltic,5.233,1
WT-0038,WT-0038-GEN,Generator,Baltic,6.252,0
WT-0039,WT-0039-MB,Main bearing,Onshore North,7.996,0
WT-0039,WT-0039-GB,Gearbox,Onshore North,7.996,0
WT-0039,WT-0039-GEN,Generator,Onshore North,7.996,0
WT-0040,WT-0040-MB,Main bearing,North Sea,4.324,0
WT-0040,WT-0040-GB,Gearbox,North Sea,3.396,1
WT-0040,WT-0040-GEN,Generator,North Sea,4.324,0
WT-0041,WT-0041-MB,Main bearing,Baltic,9.537,1
WT-0041,WT-0041-GB,Gearbox,Baltic,10.005,0
WT-0041,WT-0041-GEN,Generator,Baltic,6.365,1
WT-0042,WT-0042-MB,Main bearing,Onshore North,6.508,1
WT-0042,WT-0042-GB,Gearbox,Onshore North,6.837,0
WT-0042,WT-0042-GEN,Generator,Onshore North,6.837,0
WT-0043,WT-0043-MB,Main bearing,Onshore North,5.659,1
WT-0043,WT-0043-GB,Gearbox,Onshore North,9.160,0
WT-0043,WT-0043-GEN,Generator,Onshore North,9.160,0
WT-0044,WT-0044-MB,Main bearing,Onshore North,4.350,1
WT-0044,WT-0044-GB,Gearbox,Onshore North,7.729,1
WT-0044,WT-0044-GEN,Generator,Onshore North,9.156,1
WT-0045,WT-0045-MB,Main bearing,Onshore North,3.076,0
WT-0045,WT-0045-GB,Gearbox,Onshore North,2.577,1
WT-0045,WT-0045-GEN,Generator,Onshore North,3.076,0
WT-0046,WT-0046-MB,Main bearing,North Sea,6.479,0
WT-0046,WT-0046-GB,Gearbox,North Sea,6.479,0
WT-0046,WT-0046-GEN,Generator,North Sea,6.479,0
WT-0047,WT-0047-MB,Main bearing,North Sea,7.497,0
WT-0047,WT-0047-GB,Gearbox,North Sea,7.497,0
WT-0047,WT-0047-GEN,Generator,North Sea,4.330,1
WT-0048,WT-0048-MB,Main bearing,North Sea,10.348,0
